,Question,Answer
116,Thank you. So what does this Bob guy look like? Is he tall? Short?,Yep.
117,Which?,Which what?
118,"You've never met Bob, have you?","No, but he's..."
119,"How, how did that happen?",Oh my god.
120,What?,I suddenly had the feeling that I was falling. But I'm not.
121,I suddenly had the feeling that I was falling. But I'm not.,"So, you and Angela, huh?"
122,Yep. Pretty much.,"You're a lucky man. You know what I miss the most about her? That cute nibbly noise when she eats. Like a happy little squirrel, or a weasel."
123,"Huh, I never really noticed.","Oh, yeah, yeah, listen for it."
124,"Monica, Monica is great.","Yeah, but it's not gonna last. She's too much for me in bed. Sexually."
125,Oh my god.,What?
126,Hello! Were we at the same table? It's like... cocktails in Appalachia.,"Come on, they're close."
127,Close? She's got her tongue in his ear.,"Oh, like you've never gotten a little rambunctious with Ross."
128,"Joey, this is sick, it's disgusting, it's, it'snot really true, is it?","Well, who's to say what's true? I mean..."
129,"Oh my god, what were you thinking?","All right, look, I'm not proud of this, ok? Well, maybe I am a little."
130,Oh!,Ow!
131,I'm outta here.,"Wait, wait, wait. You want him, I want her. He likes you."
132,Really?,"Yeah. I'm thinking, if we put our heads together, between the two of us, we can break them up."
133,,"Uh, waiter, one more plate of chicken wings over here."
134,"Hey, how'd it go?",Excellent.
135,,"Vell, Eva, ve've done some excellent vork here, and I vould have to say, your pwoblem is qviiite clear."
136,"Vell, Eva, ve've done some excellent vork here, and I vould have to say, your pwoblem is qviiite clear.","All you want is a dingle, What you envy's a schwang, A thing through which you can tinkle, Or play with, or simply let hang..."
137,Hey! You're in a play! I didn't know you could dance! You had a beard!,Whadja think?
138,...Hey! You're in a play! I didn't know you could dance! You had a beard!,"C'mon, you guys, it wasn't that bad. It was better than that thing I did with the trolls, at least you got to see my head."
139,What is it?,"The Estelle Leonard Talent Agency. Wow, an agency left me its card! Maybe they wanna sign me!"
140,'We' would be me and Rick.,Who's Rick?
141,What? So you guys don't mind going out with someone else who's going out with someone else?,I couldn't do it.
142,"Good for you, Joey.","When I'm with a woman, I need to know that I'm going out with more people than she is."
143,,"Uh huh.. uh huh... oh my God! Okay! Okay, I'll be there! That was my agent. My agent has just gotten me a job...in the new Al Pacino movie!"
144,"Well, what's the part?","""Can you believe this? Al Pacino! This guy's the reason I became an actor! """"I'm out of order? Pfeeeh. You're out of order! This whole courtroom's out of order!"""""""
145,"Seriously, what-what's the part?","""""""Just when I thought I was out, they pull me back in!"""""""
146,"C'mon, seriously, Joey, what's the part?",...I'm his
147,"..You're, you're 'mah mah mah' what?","...I'm his butt double. 'Kay? I play Al Pacino's butt. Alright? He goes into the shower, and then- I'm his butt."
148,Oh my God.,"C'mon, you guys. This is a real movie, and Al Pacino's in it, and that's big!"
149,"Oh no, it's terrific, it's... it's... y'know, you deserve this, after all your years of struggling, you've finally been able to crack your way into showbusiness.","Okay, okay, fine! Make jokes, I don't care! This is a big break for me!"
150,,Here. I need to borrow some moisturizer.
151,For what?,Whaddya think? Today's the big day!
152,"Oh my God. Okay, go into the bathroom, use whatever you want, just don't ever tell me what you did in there.",Thank you!
153,"...Dammit, hire the girl! Okay, everybody ready?","Uh, listen, I just wanna thank you for this great opportunity."
154,Lose the robe.,Me?
155,That would work.,Right. Okay. Losing the robe. And the robe is lost.
156,"And cut. Hey, Butt Guy, what the hell are you doing?","Well, I'm- I'm showering."
157,"No, that was clenching.","Oh. Well, the way I see it, the guy's upset here, y'know? I mean, his wife's dead, his brother's missing... I think his butt would be angry here."
158,"I think his butt would like to get this shot before lunch. Once again, rolling... water working... and action....and cut. What was that?",I was going for quiet desperation. But if you have to ask...
159,"Hey, waitwait, aren't you the guy that plays the butt in the new Al Pacino movie?",Nope.
160,It felt like a 'big guy' moment.,I got fired.
161,Oh!,"Yeah, they said I acted too much with it. I told everybody about this! Now everybody's gonna go to the theatre, expecting to see me, and..."
162,"Oh, Joey, you know what, no-one is gonna be able to tell.",My mom will.
163,Something so sweet and...disturbing about that.,"Y'know, I've done nothing but crappy plays for six years. And I finally get my shot, and I blow it!"
164,"Yeah, I mean... I think when it's your shot, y'know, you-you know it's your shot. Did it... feel like your shot..?","Hard to tell, I was naked."
165,"No, I don't think this was your shot. I mean, I don't even think you just get one shot. I really believe big things are gonna happen for you, I do! You've gotta just keep thinking about the day that some kid is gonna run up to his friends and go 'I got the part! I got the part! I'm gonna be Joey Tribbiani's ass!'.",Yeah? That's so nice!
166,,Hi everyone.
167,"And officiating at tonight's blackout, is Rabbi Tribbiani.","Well, Chandler's old roomate was Jewish, and these are the only candles we have, so... Happy Chanukah, everyone."
168,Put Joey on the phone.,What's up man?
169,I'm trppd... in an ATM vstbl... wth JLL GDCR.,"Oh my God! He's trapped in an ATM vestibule with Jill Goodacre! Chandler, listen."
170,That's my sister.,OK... my weirdest place would have to be... the women's room on the second floor of the New York CIty public library.
171,Step back.,We have a winner!
172,,It's never gonna happen.
173,What?,You and Rachel.
174,What? Why not?,"Because you waited too long to make your move, and now you're in the friend zone."
175,"No, no, no. I'm not in the zone.","Ross, you're mayor of the zone."
176,"I'm taking my time, alright? I'm laying the groundwork. Yeah. I mean, every day I get just a little bit closer to...","Priesthood! Look Ross, I'm telling you, she has no idea what you're thinking. If you don't ask her out soon you're going to end up stuck in the zone forever."
177,"I will, I will. See, I'm waiting for the right moment. What? What, now?","Yeeeeaaaahhh! What's messing you up? The wine? The candles? The moonlight? You've just got to go up to her and say, 'Rachel, I think that...'"
178,"OK, here goes.",Are you going to do it?
179,I'm going to do it.,Do you want any help?
180,"You come out there, you're a dead man.","Good luck, man."
181,Thanks. OK.,OK.
182,,"Hey, where are you going?"
183,Outside.,You can't go out there.
184,Why not?,Because of... the reason.
185,And that would be?,"I, um, can't tell you."
186,"Joey, what's going on?","OK, you've got to promise that you'll never, ever tell Ross that I told you."
187,About what?,He's planning your birthday party.
188,Oh my God! I love him!,You'd better act surprised.
189,"Well, he didn't tell me.","Hey, don't look at me. This is Ross's thing."
190,,"I'm on top of the world, looking down on creation and the only explanation I can find, is the wonders I've found ever since..."
191,,"Sorry, that was wax."
192,Kinda... spooky without any lights.,Bwah-hah-hah!
193,Oh.. oh... oh.,"Hey Ross. This probably isn't the best time to bring it up, but you have to throw a party for Monica."
194,"Yeah, I think so, yeah.",Not me.
195,Twice.,Twice?
196,"Oh, that sucks!",You guys okay?
197,Sure. I just sharpened her this morning.,"Now, see, I don't believe any of that. I think once you're dead, you're dead! You're gone! You're worm food! ...So Chandler looks gay, huh?"
198,"What, we-uh- we don't have shoes here, or...?",Morning. We ready to go?
199,,What?
200,"Nothing, just your overcoat sounds remarkably like Brent Mussberger.","Check it out, Giants-Cowboys."
201,You're watching a football game at a funeral?,"No, it's the pre-game. I'm gonna watch it at the reception."
202,Whaddya got there?,"Just a, uh... hearing disability."
203,What's the score?,Seventeen-fourteen Giants... three minutes to go in the third.
204,Looks like a fun gang.,"Ooh, look-look-look-look-look! I got Monica naked!"
205,,"Hey, hey."
206,And this from the cry-for-help department. Are you wearing makeup?,"Yes, I am. As of today, I am officially Joey Tribbiani, actor slash model."
207,What were you modeling for?,You know those posters for the city free clinic?
208,Do you know which one you're gonna be?,"No, but I hear lyme disease is open, so..."
209,"Good luck, man. I hope you get it.",Thanks.
210,"You know, they're not actually supposed to have... I'll work on the lumps. Joey, you're going home, right?",Yeah.
211,We all chipped in.,We did?
212,Yes. It's very difficult to appreciate a Thanksgiving dinner once you've seen it in reverse.,"Uh, hi. We uh, we used to work together."
213,We did?,"Yeah, at Macy's. You were the Obsession girl, right? I was the Aramis guy. Aramis? Aramis?"
214,"Yeah, right.",I gotta tell you. You're the best in the business.
215,Get out.,"I'm serious. You're amazing. You know when to spritz, when to lay back."
216,Really? You don't know what that means to me.,"Ooh, you smell great tonight. What're you wearing?"
217,Nothing.,"Listen, uh, you wanna go get a drink or something?"
218,Yeah. Oh.,What's wrong?
219,"I just remembered, I have to do something.",Oh. What?
220,"Um, leave.","Wait, wait, wait!"
221,,So I guess you all saw it.
222,"No, we were just laughing. You know, how laughter can be infectious.",Set another place for Thanksgiving. My entire family thinks I have VD.
223,"Ok, I'm gonna get my stuff.","Chandler, will you just come in already?"
224,,"Hey, Monica, I got a question. I don't see any tater tots."
225,That's not a question.,"But my mom always makes them. It's like a tradition. You get a little piece of turkey on your fork, a little cranberry sauce, and a tot! It's bad enough I can't be with my family because of my disease."
226,The most unbelievable thing has happened. Underdog has just gotten away.,The balloon?
227,"Oh, I gotta get my ticket!","Wait, wait, we have a copy of your key."
228,"Well then get it, get it!",That tone will not make me go any faster.
229,Joey!,That one will.
230,"Hey, hey, I'm your daddy. I'm the one without any breasts.","Nope, not that one."
231,Can you go any faster with that?,"Hey, I got one keyhole and about a zillion keys. You do the math."
232,"Oh, god, this is great! The plane is gone, so it looks like I'm stuck here with you guys.","Hey, we all had better plans. This was nobody's first choice."
233,"Oh, really? So why was I busting my ass to make this delicious Thanksgiving dinner?",You call that delicious?
234,,I've gotta see this. All right Ugly Naked Guy!
235,Does anybody wanna split this with me?,"Oh, I will."
236,"Come on, you know, Thanksgiving. Ooh, you got the bigger half. What'd you wish for?",The bigger half.
237,"So, how'd it go?","Ahhhhhh, I didn't get the job."
238,How could you not get it? You were Santa last year.,"I dunno. Some fat guy's sleeping with the store manager. He's not even jolly, it's all political."
239,So what are you gonna be?,"Ah, I'm gonna be one of his helpers. It's just such a slap in the face, y'know?"
240,"Okay, we're gonna take a short break.","Hey, that guy's going home with more than a note!"
241,,"Hi. Hi, sorry I'm late."
242,Too many jokes... must mock Joey!,"Nice shoes, huh?"
243,Yeah.,You know more than one Fun Bobby?
244,"Okay, here we go...","Ooh ooh ooh ooh, there's no room for milk!"
245,"Okay, so on our no-date evening, three of you now have dates.","Uh, four."
246,Sorry. Paolo's catching an earlier flight.,"Yeah, and I met this really hot single mom at the store. What's an elf to do?"
247,"Hi, I'm Sandy.",Sandy! Hi! C'mon in! ...You brought your kids.
248,"Y'know, when I saw you at the store last week, it was probably the first time I ever mentally undressed an elf.","Wow, that's, uh, dirty."
249,,"Hey, kids..."
250,"Hey, sorry I'm late. But my, uh, grandfather, he- died about two hours ago. But I-I-I couldn't get a flight out 'til tomorrow, so here I am!",Hey Fun Bobby! Whoah! Who died?
251,,"There y'go, kids."
252,And then the peacock bit me. Please kiss me at midnight.,You seen Sandy?
253,And the moment of joy is upon us.,Looks like that no date pact thing worked out.
254,So I'm kissing everyone?,"Nonono, you can't kiss Ross, that's your brother."
255,"Alright, somebody kiss me. Somebody kiss me, it's midnight! Somebody kiss me!",Alrightalrightalright. There.
256,"Yeah, we-we feel kinda responsible.",I can't believe you said woowoo. I don't even say woowoo.
257,"No way, forget it.","C'mon, she's your mom!"
258,,Uhhhh.... I'll just pee in the street.
259,"Hey, is Chandler here?",Yeah.
260,"Okay, uh, about last night, um, Chandler.. you didn't tell... Okay, 'cause I'm thinking- we don't need to tell Chandler, I mean, it was just a kiss, right? One kiss? No big deal? Right?",Right. No big deal.
261,Okay.,In Bizarro World!! You broke the code!
262,What code?,"You don't kiss your friend's mom! Sisters are okay, maybe a hot-lookin' aunt... but not a mom, never a mom!"
263,"Uh.. uh.. Well, Joey and I had discussed getting in an early morning racquetball game. But, um, apparently, somebody overslept.","Yeah, well, you don't have your racket."
264,"No, no I don't, because it's being restrung, somebody was supposed to bring me one.","Yeah, well you didn't call and leave your grip size."
265,"Okay, I'm scum, I'm scum.","Ross, how could you let this happen?"
266,"I don't know, God, I... well, it's not like she's a regular mom, y'know? She's, she's sexy, she's...",You don't think my mom's sexy?
267,Well... not in the same way...,"I'll have you know that Gloria Tribbiani was a handsome woman in her day, alright? You think it's easy giving birth to seven children?"
268,"Well, not playing raquetball!",He forgot to leave his grip size!
269,,So are you gonna tell him?
270,Why would I tell him?,"How about 'cause if you don't, his mother might."
271,What are you guys doing here?,Uhhhh.... he's not even wearing a jockstrap!
272,You knew about this?,"Uh... y'know, knowledge is a tricky thing."
273,"I spent the entire day with you, why didn't you tell me?!","Hey, hey, hey, you're lucky I caught them when I did, or else who knows what woulda happened."
274,Chandler-,"Me neither, y'know what-"
275,I'm still mad at you for not telling me.,What are you mad at me for?!
276,You gotta let me slam the door!,"Chandler, I didn't kiss her, he did! See what happens when you break the code?"
277,Joey-,Ah! Huh?
278,Okay. I am so hot!,"Now, here's a picture of my mother and father on their wedding day. Now you tell me she's not a knockout."
279,I cannot believe we're having this conversation.,"C'mon! Just try to picture her not pregnant, that's all."
280,"Yeah, I believe I was talking to Joey, alright there, Mother-Kisser?",Mother-Kisser... I'll shut up.
281,"Ah, the forbidden love of a man and his door.","Shh. He did it. He told her off, and not just about the kiss, about everything."
282,You're kidding.,"""No, no. He said """"When are you gonna grow up and start being a mom?"""""""
283,Wow!,"""Then she came back with """"The question is, when are you gonna grow up and realise I have a bomb?"""""""
284,"""'Kay, wait a minute, are you sure she didn't say """"When are you gonna grow up and realise I am your mom?""""""",That makes more sense.
285,"So, what's going on now?","I dunno, I've been standing here spelling it out for you! I don't hear anything. Oh, wait, wait, wait."
286,Whaddya see?,"Hard to tell, they're so tiny and upside-down. Wait, wait. They're walking away... they're walking away... No, no they're not, they're coming right at us! Run! Run!"
287,What's a 'niffle'?,You usually find them on the 'heaving beasts'.
288,,"Ross, did you really read all these baby books?"
289,,"Hey Ross, listen, you know that right now, your baby's only this big? This is your baby. Hi Daddy!"
290,Hello!,How come you don't live with Mommy? How come Mommy lives with that other lady? What's a lesbian?
291,"...nauseous, I'm physically nauseous. What am I supposed to do, huh? Call immigration? I could call immigration!","I love babies, with their little baby shoes, and their little baby toes, and their little baby hands..."
292,,Need a new table.
293,"Ok, so it's just because it was my table, I have to buy a new one?",That's the rule.
294,"What rule? There's no rule, if anything, you owe me a table!",How'd you get to that?
295,"Well, I believe the piece of furniture was fine until your little breakfast adventure with Angela Delvecchio",You knew about that?
296,"Well, let's just say the impressions you made in the butter left little to the imagination.","Ok, ok, How about if we split it?"
297,"What do you mean, like, buy it together?",Yeah
298,You think we're ready for something like that?,Why not?
299,"Well, it's a pretty big commitment, I mean, what if one of us wants to move out?","Why, are you moving out?"
300,I'm not moving out.,You'd tell me if you were moving out right
301,"Yeah, yeah, it's just that with my last roommate Kip...","Aw, I know all about Kip!"
302,"It's just that we bought a hibachi together, and then he ran off and got married, and things got pretty ugly.","Well, let me ask you something, was Kip a better roommate than me?"
303,"Carol called me to thank me for the lasagna, I asked, she told me.",So what's it gonna be?
304,"I'm sorry, I'm just excited about being an aunt!",Or an uncle...
305,"Oh, right, that's me!","Hey, Chandler, that table place closes at 7, come on."
306,,"Whoa, store will be open tomorrow!"
307,"Oh, yeah, you have to tell her.",Feminist issue. That's where I went!
308,"Yeah, well...","Will you pick one, just pick one! Here, how about that one?"
309,That's patio furniture!,"""So what, like people are gonna come in and think, """"Uh-oh, I'm outside again?"""" Of course!"""
310,What about the birds?,"""I don't know, birds just don't say, """"Hello, sit here, eat something."""""""
311,You pick one.,"All right, how about the ladybugs?"
312,"Oh, so, forget about the birds, but big red insects suggest fine dining!","Fine, you want to get the birds, get the birds!"
313,"So how does this work, you going to balance the plates on these little guys' heads?","Who cares, we'll eat at the sink! Come on, let's play!"
314,"Ah...ooh! Well, looks like, uh, we kicked your butts.","No-no, she kicked our butts. You could be on the Olympic standing-there team."
315,"What, now?","Yes, now is when you swoop! You gotta make sure that when Paolo walks out of there, the first guy Rachel sees is you, She's gotta know that you're everything he's not! You're like, like the anti-Paolo!"
316,Wha-,Wha-
317,I'm having a boy! I-I'm having a boy!,Hey!
318,"Where are you guys going? Come on, one more game!","Uh, it's 2:30 in the morning!"
319,One more game?,Oh yeah!
320,,"Hey you guys. Hey, you all know my dad, right?"
321,"What happened to the, uh, puppet guy?","Dad, dad."
322,"Gotta go. I miss you too, I love you, but it's getting real late now","Hey Ma. Listen, I made the appointment with Dr. Bazida, and... Excuse me? Did you know this isn't Ma?"
323,Her name's Ronni. She's a pet mortician.,Sure. So how long you been...
324,"Remember when you were a little kid, I used to take you to the navy yard and show you the big ships?",Since then?!
325,"No, it's only been six years. I just wanted to put a nice memory in your head so you'd know that I wasn't always such a terrible guy. ...Joe. Y'ever been in love?",...I d'know.
326,Then y'haven't. You're burning your tomatoes.,You're one to talk.
327,"Joe, your dad's in love big time. And the worst part of it is, it's with two different women.",Oh man. Please tell me one of 'em is Ma.
328,"Of course, course one of 'em's Ma. What's the matter with you.","It's like if you woke up one day and found out your dad was leading this double life. He's like actually some spy, working for the C.I.A. That'd be cool.... This blows!"
329,"Oh, good. Rog is here.",What's the matter with Rog?
330,Hate that guy!,"Night, you guys."
331,"Oh look, it's the woman we ordered.","Hey. Can, uh, can we help you?"
332,"Oh, no thanks, I'm just waiting for, uh, Joey Tribbiani.",I'm Joey Tribbiani.
333,"Hey, Joe.","Dad, Ronni's here."
334,"Oh, where'm I gonna stay, here?",Who-ah-ho.
335,We'll go to a hotel.,No you won't.
336,No we won't.,If you go to a hotel you'll be...doing stuff. I want you right here where I can keep an eye on you.
337,You're gonna keep an eye on us?,"That's right, mister, and I don't care how old you are, as long as you're under my roof you're gonna live by my rules. And that means no sleeping with your girlfriend."
338,Wow. He's strict.,"Now dad, you'll be in my room, Ronni uh, you can stay in Chandler's room."
339,"""C'mon, I'll show you to my room. ...That sounds so weird when it's not followed by """"No thanks, it's late.""""""","Okay. Now this is just for tonight. Starting tomorrow, you gotta make a change. This has gone on long enough."
340,What kinda change?,"Well, either you break it off with Ronni"
341,I can't do that!,Then you gotta come clean with Ma! This is not right!
342,"Yeah, but this is",I don't wanna hear it! Now go to my room!
343,"Hey, Kicky. What're you doing?",Just trying to get comfortable. I can't sleep in my underwear.
344,"Well, you're gonna.","I've been thinking. Y'know, about how I'm always seeing girls on top of girls..."
345,"Are they end to end, or tall like pancakes?","Y'know what I mean, about how I'm always going out with all these women. And I always figured, when the right one comes along, I'd be able to be a stand-up guy and go the distance, y'know? Now I'm looking at my dad, thinking..."
346,"Hey, you're not him. You're you. When they were all over you to go into your father's pipe-fitting business, did you cave?",No.
